Treatment,Plot,Range,Row,Genotype,Species,Biomass0608_gm2,Biomass2708_gm2,Biomass1709_gm2,Biomass0110_gm2,Yield (kg/plot)
HTPC,11010,11,10,Devil,Wheat,,,,,4.953
HTPC,9011,9,11,Devil,Wheat,,,,,5.287
HTPC,1012,1,12,Devil,Wheat,172.4371,344.22685,807.8202,1317.448,4.705
HTPC,9012,9,12,Devil,Wheat,71.9103,301.39285,751.41,929.038,4.45
HTPC,10012,10,12,Devil,Wheat,120.2135,338.95125,642.7036,1145.144,4.154
HTPC,11012,11,12,Devil,Wheat,118.3743,375.42065,645.656,1097.47,3.8
HTPC,4001,4,1,IGB1705T,Barley,124.9083,339.16905,778.756,841.676,3.909
HTPC,10001,10,1,IGB1705T,Barley,113.1955,387.61745,587.8422,813.12,3.339
HTPC,6002,6,2,IGB1705T,Barley,,,,,4.35
HTPC,1003,1,3,IGB1705T,Barley,,,,,4.453
HTPC,5003,5,3,IGB1705T,Barley,,,,,4.559
HTPC,7003,7,3,IGB1705T,Barley,,,,,4.658
HTPC,1004,1,4,IGB1705T,Barley,128.8529,226.25185,931.458,854.502,3.533
HTPC,2004,2,4,IGB1705T,Barley,103.3219,500.72825,794.486,912.582,3.958
HTPC,3005,3,5,IGB1705T,Barley,169.0491,409.80885,851.0898,1455.63,4.393
HTPC,7005,7,5,IGB1705T,Barley,160.7243,506.94765,814.088,926.376,4.101
HTPC,8005,8,5,IGB1705T,Barley,152.0123,438.34065,897.9168,1366.09,4.107
HTPC,8006,8,6,IGB1705T,Barley,,,,,4.915
HTPC,10006,10,6,IGB1705T,Barley,,,,,4.843
HTPC,9007,9,7,IGB1705T,Barley,,,,,4.031
HTPC,10008,10,8,IGB1705T,Barley,134.3947,432.29065,950.0436,1154.582,3.727
HTPC,12008,12,8,IGB1705T,Barley,135.5079,307.68485,849.4684,1143.208,3.775
HTPC,1009,1,9,IGB1705T,Barley,201.7917,457.77325,822.316,1301.234,3.682
HTPC,8009,8,9,IGB1705T,Barley,162.4425,410.72845,837.078,812.394,4.325
HTPC,12010,12,10,IGB1705T,Barley,,,,,4.32
HTPC,1011,1,11,IGB1705T,Barley,,,,,4.613
HTPC,8011,8,11,IGB1705T,Barley,,,,,5.137
HTPC,5012,5,12,IGB1705T,Barley,166.7017,581.55625,1013.012,1211.452,4.083
HTPC,7012,7,12,IGB1705T,Barley,188.6753,357.73045,865.876,1462.648,3.81
HTPC,12012,12,12,IGB1705T,Barley,144.7281,551.49985,867.086,1390.048,3.453
HTPC,1001,1,1,Sceptre,Wheat,53.9055,143.39105,570.1762,711.722,3.752
HTPC,7001,7,1,Sceptre,Wheat,62.1577,312.93625,609.5012,682.924,4.318
HTPC,2002,2,2,Sceptre,Wheat,,,,,5.023
HTPC,3002,3,2,Sceptre,Wheat,,,,,4.603
HTPC,4002,4,2,Sceptre,Wheat,,,,,4.83
HTPC,8003,8,3,Sceptre,Wheat,,,,,4.729
HTPC,9003,9,3,Sceptre,Wheat,,,,,4.571
HTPC,11003,11,3,Sceptre,Wheat,,,,,4.997
HTPC,12005,12,5,Sceptre,Wheat,113.1471,265.48005,517.88,798.6,4.137
HTPC,4006,4,6,Sceptre,Wheat,,,,,5.389
HTPC,7006,7,6,Sceptre,Wheat,,,,,4.76
HTPC,11006,11,6,Sceptre,Wheat,,,,,5.394
HTPC,2007,2,7,Sceptre,Wheat,,,,,4.91
HTPC,2008,2,8,Sceptre,Wheat,86.7207,316.15485,679.052,1028.258,4.423
HTPC,5008,5,8,Sceptre,Wheat,87.0353,353.85845,694.0802,1034.308,4.345
HTPC,7008,7,8,Sceptre,Wheat,116.8013,300.71525,709.302,779.966,4.048
HTPC,2010,2,10,Sceptre,Wheat,,,,,5.251
HTPC,8010,8,10,Sceptre,Wheat,,,,,5.053
HTPC,2011,2,11,Sceptre,Wheat,,,,,5.638
HTPC,5011,5,11,Sceptre,Wheat,,,,,5.368
HTPC,10011,10,11,Sceptre,Wheat,,,,,5.495
HTPC,2012,2,12,Sceptre,Wheat,135.2901,357.75465,666.347,1119.492,4.574
HTPC,6012,6,12,Sceptre,Wheat,95.4811,288.47005,477.466,978.648,4.066
HTPC,8012,8,12,Sceptre,Wheat,117.2369,324.28605,550.792,1101.826,4.239
HTPC,6001,6,1,Wyalkatchem,Wheat,75.1047,343.57345,499.5122,1044.956,4.511
HTPC,11001,11,1,Wyalkatchem,Wheat,70.2163,199.99485,391.6044,857.89,3.61
HTPC,12002,12,2,Wyalkatchem,Wheat,,,,,4.447
HTPC,6003,6,3,Wyalkatchem,Wheat,,,,,4.916
HTPC,3004,3,4,Wyalkatchem,Wheat,91.8269,349.06685,569.1598,1016.4,3.946
HTPC,4004,4,4,Wyalkatchem,Wheat,90.5927,384.88285,655.2392,1026.564,4.346
HTPC,8004,8,4,Wyalkatchem,Wheat,82.9697,303.64345,644.0588,814.088,3.94
HTPC,12004,12,4,Wyalkatchem,Wheat,98.7481,213.90985,700.7836,937.024,3.594
HTPC,2005,2,5,Wyalkatchem,Wheat,103.2735,255.50965,645.656,941.622,3.979
HTPC,6005,6,5,Wyalkatchem,Wheat,110.6061,314.19465,696.96,1069.882,4.292
HTPC,3006,3,6,Wyalkatchem,Wheat,,,,,5.023
HTPC,6006,6,6,Wyalkatchem,Wheat,,,,,5.181
HTPC,1007,1,7,Wyalkatchem,Wheat,,,,,4.609
HTPC,8007,8,7,Wyalkatchem,Wheat,,,,,5.112
HTPC,10007,10,7,Wyalkatchem,Wheat,,,,,4.886
HTPC,9008,9,8,Wyalkatchem,Wheat,83.4053,223.15425,596.3848,708.576,3.991
HTPC,3009,3,9,Wyalkatchem,Wheat,160.9179,326.60925,849.3958,926.618,4.119
HTPC,10009,10,9,Wyalkatchem,Wheat,144.9701,297.73865,765.204,967.516,4.429
HTPC,1010,1,10,Wyalkatchem,Wheat,,,,,4.941
HTPC,4010,4,10,Wyalkatchem,Wheat,,,,,4.722
HTPC,7010,7,10,Wyalkatchem,Wheat,,,,,4.959
HTPC,10010,10,10,Wyalkatchem,Wheat,,,,,5.273
HTPC,4011,4,11,Wyalkatchem,Wheat,,,,,4.48
HTPC,7011,7,11,Wyalkatchem,Wheat,,,,,5.013
